index,fixed_dual_family_rank,fixed_dual_observed_rank,fixed_dual_score,optimized_star_observed_rank,optimized_star_lower,optimized_star_upper,exact_strict_improvement
8595,3,1,-43.27936253876578,6,8.22489232058751,8.22489236696057,False
8486,5,2,-42.86706545940069,12,8.941069559536507,8.94106956749249,False
8711,6,3,-42.71769188842518,9,8.415077818993558,8.415077828256587,False
8002,47,4,-38.999376120614215,3,7.6924205871290265,7.6924206355722555,True
3074,96,5,-37.09692525881837,1,6.038934427815113,6.038934465533359,True
1377,176,6,-35.42902850430437,2,6.7132011870631425,6.713201223485338,True
2705,216,7,-34.6562975779716,13,9.071704120439772,9.071704139100158,False
3066,454,8,-32.10636842466647,7,8.300018924411429,8.300018970355103,False
391,961,9,-29.337851618205605,4,7.938496452328033,7.938496483004576,True
1242,1430,10,-27.686310517811762,8,8.407955179347484,8.407955234329403,False
95,2063,11,-26.032877621766602,11,8.815782543954972,8.81578258693236,False
98,5400,12,-19.780364465414095,5,8.209394549219327,8.209394626951285,False
224,6037,13,-18.630399076344474,10,8.781410734112,8.781410755243602,False
1077,6510,14,-17.73343973851297,14,9.91894671911935,9.918946739153332,False
